setting_name,include_labels,include_meshes,top_k,cm_yy,cm_yn,cm_ym,cm_ny,cm_nn,cm_nm,cm_my,cm_mn,cm_mm
with_labels_mesh,1,1,1,70,26,456,43,18,277,21,2,87
with_labels_mesh,1,1,2,81,9,462,41,10,287,17,2,91
with_labels_mesh,1,1,3,108,12,432,41,12,285,22,1,87
with_labels_mesh,1,1,4,126,22,404,59,15,264,21,2,87
with_labels_mesh,1,1,5,128,12,412,54,14,270,26,2,82
no_labels_mesh,0,0,1,89,25,438,42,19,277,21,3,86
no_labels_mesh,0,0,2,103,7,442,46,9,283,21,1,88
no_labels_mesh,0,0,3,130,7,415,51,12,275,28,1,81
no_labels_mesh,0,0,4,140,16,396,62,21,255,21,2,87
no_labels_mesh,0,0,5,145,15,392,60,20,258,26,2,82
