setting_name,include_labels,include_meshes,top_k,accuracy,hallucination,used_retrieval_rate,avg_t_self_ms,avg_t_retrieve_ms,avg_t_total_ms
with_labels_mesh,1,1,1,0.292000,0.221000,0.616000,152.965,42.544,205.700
with_labels_mesh,1,1,2,0.295000,0.205000,0.618000,152.646,42.674,205.936
with_labels_mesh,1,1,3,0.324000,0.213000,0.618000,152.515,42.420,207.798
with_labels_mesh,1,1,4,0.330000,0.231000,0.616000,153.352,42.813,224.904
with_labels_mesh,1,1,5,0.335000,0.227000,0.616000,153.630,41.471,230.929
no_labels_mesh,0,0,1,0.303000,0.220000,0.616000,152.130,42.212,202.871
no_labels_mesh,0,0,2,0.304000,0.214000,0.618000,151.650,42.028,202.700
no_labels_mesh,0,0,3,0.325000,0.223000,0.618000,151.645,41.997,203.074
no_labels_mesh,0,0,4,0.337000,0.234000,0.618000,152.203,42.013,211.226
no_labels_mesh,0,0,5,0.352000,0.236000,0.616000,152.946,41.634,223.317
